author,category,description,infos,origin,pan_1,pan_2,pan_3,pan_pass,pic,rating,title
请参考图书详情,计算机与互联网,"
《奇点临近》是一本有思维方法论启示的书；是一本站在历史的高度，INN，考科技力量的书；是一本充满想象与预言，但又不失科学论证的书。本书提供了一个崭新的视角：21世纪既是数百年以来科技、创意的顶点，又是对人类最终命运真挚的愿景。","原价：69.00元
作者：[美]Ray Kurzweil [译]李庆诚(等)
出版社：机械工业出版社
出版日期：2011-10-01
ISBN：9787111358893
字数：-
页数：373
版次：1
开本：16开",http://www.pdfbook.cn/22/10291.html,城通网盘##https://t00y.com/file/1163421-221883348,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/086.jpg,,奇点临近
请参考图书详情,中国史,"
林语堂先生说：世间学说，每每误人，惟有李宗吾的不会误人。柏杨先生说：这本书之好，在于告诉国人，一个盖世奇才，对日非的世局，其内心的悲愤和痛苦是如何沉重，李宗吾先生一生为人作事，直可惊天地而泣鬼神。本书的内容有代序、宗吾自传、厚黑学、厚黑丛话、心理与力学、社会问题之商榷、中国学术之趋势、宗吾论坛七大部分内容。","原价：39.80元
作者：[中]李宗吾
出版社：大众文艺出版社
出版日期：2003-02-01
ISBN：9787801712691
字数：288000
页数：454
版次：1
开本：16开",http://www.pdfbook.cn/26/10239.html,城通网盘##https://t00y.com/file/1163421-222866867,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/070.jpg,,宗吾臆谈
请参考图书详情,教育,"
本书为安徽省六安第二中学语文教研组徐礼诚老师近年来教学反思与备课札记的结集。","原价：12.00元
作者：[中]徐礼诚
出版社：中国电影出版社
出版日期：2015-04-01
ISBN：9787106039660
字数：1900000
页数：144
版次：1
开本：32开",http://www.pdfbook.cn/23/10244.html,城通网盘##https://t00y.com/file/1163421-221888542,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/071.jpg,,杏苑走笔 语文教学及其他
请参考图书详情,程序语言与软件开发,"
你将从《深入浅出JavaScript（中文版）》学到什么？这么说你准备从写html和css的静态网页跃进到编写动态网络应用程序脚本了？这里就是起点。《深入浅出java script》带你游历令人兴奋的交互式网页创建过程。为了启发你的思考，《深入浅出JavaScript（中文版）》覆盖了所有的java script基本知识，从基本网络编程技巧，如变量、函数和循环语句，到高级一些的专题，如表单验证、dom操作、客户端对象、脚本程序调试——甚至是aiax！赶快做好准备……快速响应的网站离你只有几页纸那么远。","原价：98.00元
作者：[美]莫里森 [译]OReilly Taiwan公司
出版社：东南大学出版社
出版日期：2010-09-01
ISBN：9787564124168
字数：887000
页数：598
版次：1
开本：12开",http://www.pdfbook.cn/22/10247.html,城通网盘##https://t00y.com/file/1163421-222861260,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/072.jpg,,深入浅出JavaScript(中文版)
请参考图书详情,管理学,"
畅销书《商业模式新生代》作者的又一力作","原价：89.00元
作者：[美]蒂姆·克拉克等 [译]毕崇毅
出版社：机械工业出版社
出版日期：2012-07-01
ISBN：9787111386759
字数：-
页数：256
版次：1
开本：16开",http://www.pdfbook.cn/02/10253.html,城通网盘##https://t00y.com/file/1163421-400741659,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/073.jpg,,商业模式新生代 一张画布重塑你的职业生涯(个人篇)
请参考图书详情,社会学,"
本书的主题，是否定一切现实生活中的指数增长。无论人口增长、经济增长，还是银行的利息增长，哈丁都认为是不可持续的。他的逻辑是简单而有力的：只要我们承认这个世界是有限的，那么，一切指数增长终将是虚幻，是泡沫，总会有烟消云散的一天。为了证明这一点，哈丁动员了他的所有学识，从土地生产力谈到外星，从千年以前谈到未来，从经济学谈到核物理。在他的笔下，千百年来有关指数增长的论战跌宕起伏，论述之精彩，可以说是一场思想的盛筵。","原价：28.30元
作者：[美]加勒特·哈丁 [译]戴星翼 张真
出版社：上海译文出版社
出版日期：2001-09-01
ISBN：9787532726967
字数：354000
页数：498
版次：1
开本：16开",http://www.pdfbook.cn/23/10256.html,城通网盘##https://t00y.com/file/1163421-400741595,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/074.jpg,,生活在极限之内
请参考图书详情,名家作品及研究,"
本书是弘一法师一生人生体悟和学佛心得的集大成之作，在这部著作中弘一法师以大才子、大学者、大艺术家的俗家修为向常人揭示出佛门的真谛和人生的要义。","原价：32.00元
作者：[中]李叔同
出版社：陕西师范大学出版社
出版日期：2010-06-01
ISBN：9787561342084
字数：297000
页数：304
版次：1
开本：16开",http://www.pdfbook.cn/28/10259.html,城通网盘##https://t00y.com/file/1163421-400741532,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/076.jpg,,心与禅
请参考图书详情,外国文学,"
《长路漫漫:一个童兵的回忆》主要内容包括：那天晚上我们看到的最后一个受伤的人是个妇女。她背上背的是她的孩子，血顺着衣服淌下来，在她身后流了一路。她狂奔逃命时孩子中弹身亡了。幸运的是，子弹没穿透孩子的身体。她跑到我们站立的地方，坐在地上，把孩子放下来。原来是个女孩，两只眼睛大睁着，脸上还挂着戛然而止的笑。子弹头从她肿胀的身体上冒出尖尖的头。母亲俯在女孩身上，使劲摇晃着。她悲痛惊骇至极，欲哭无泪。","原价：22.00元
作者：[塞拉利昂]伊斯梅尔·比亚 [译]于海江
出版社：上海译文出版社
出版日期：2008-01-01
ISBN：9787532751761
字数：121000
页数：245
版次：1
开本：16开",http://www.pdfbook.cn/04/10262.html,城通网盘##https://t00y.com/file/1163421-400741512,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/077.jpg,,长路漫漫 一个童兵的回忆
请参考图书详情,投资理财,"
《投资者的未来（珍藏版）》语言简练，深入浅出，投资者可以轻松阅读。《投资者的未来（珍藏版）》结构不同于教科书那样具有安排系统的理论框架，但却清晰地向投资者展示了最为有效的投资策略。作者根据投资收益率历史数据，从历史的角度纵向比较美国数十年来各个产业的投资收益率，从全球化的角度横向比较同一时期不同国家和不同投资工具的投资收益率，使得《投资者的未来（珍藏版）》结论更加具有说服力。","原价：42.00元
作者：[美]杰里米J.西格尔 [译]李月平等
出版社：机械工业出版社
出版日期：2010-06-01
ISBN：9787111306320
字数：-
页数：318
版次：1
开本：16开",http://www.pdfbook.cn/01/10265.html,城通网盘##https://t00y.com/file/1163421-400741426,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/078.jpg,,投资者的未来 (珍藏版)
请参考图书详情,投资理财,"
《专业投机原理（珍藏版）》系统地反映了世界上伟大的交易员维克托的投机哲学。因此，除了通常的市场知识外，书中还包含大量的心理学、经济学、政治学方面的知识，大大开阔了读者学习投机知识的视野。尤其值得一提的是，维克托对经济学、经济循环的本质有着深刻的认识，这使他能够把握宏观经济脉络，从容地进行投机活动。","原价：68.00元
作者：[美]维克托·斯波朗迪 [译]俞济群等
出版社：机械工业出版社
出版日期：2010-04-01
ISBN：9787111302469
字数：-
页数：452
版次：1
开本：16开",http://www.pdfbook.cn/01/10268.html,城通网盘##https://t00y.com/file/1163421-400741453,,,,http://www.pdfbook.cn/wp-content/uploads/2019/10/079.jpg,,专业投机原理 (珍藏版)
